180,214,0,186,,,,,,,,,,,,
0,0.75,1,D4,,,,,,,,,,,,
1,,1,E4,,,C#4,,,,,,,,,
2,,1,F#4,,,C4,,,,,,,,,
3,,1,G4,,,B3,,,,,,,,,
4,,1,A4,,,C4,,,,,,,,,
5,,1,A#4,,,C#4,,,,,,,,,
6,,0.5,B4,,,D4,,,,,,,,,
6.5,,0.5,B4,,,D4,,,,,,,,,
7,,1,B4,,,D4,,,,,,,,,
8,,1,B4,,,E4,,,G3,,,,,,
9,,2.5,B4,,,F4,,,G3,,,,,,
11.5,,0.5,G4,,,,,,,,,,,,
12,,2.5,E5,,,G4,,1,C3,,,,,,
13,,,,,,,,1,G3,,,,,,
14,,,,,,,,1,C4,,,,,,
15,,2.5,Eb5,,,Gb4,,1,B2,,,,,,
16,,,,,,,,1,G3,,,,,,
17,,,,,,,,1,B3,,,,,,
18,,2.5,E5,,,G4,,1,C3,,,,,,
19,,,,,,,,1,G3,,,,,,
20,,,,,,,,1,C4,,,,,,
21,,,,,,,,1,E3,,,,,,
21.5,,0.3,G4,,,,,1,,,,,,,
22,,0.3,A4,,,,,1,G3,,,,,,
22.5,,0.3,B4,,,,,1,,,,,,,
23,,0.3,C5,,,,,1,C4,,,,,,
23.5,,0.3,D5,,,,,1,,,,,,,
24,,2.5,E5,,,G4,,1,C3,,,,,,
25,,,,,,,,1,G3,,,,,,
26,,,,,,,,1,C4,,,,,,
27,,1.8,Eb5,,,Gb4,,1,B2,,,,,,
28,,,,,,,,1,G3,,,,,,
29,,1,F5,,,A4,,1,B3,,,,,,
30,,2.5,E5,,,G4,,1,C3,,,,,,
31,,,,,,,,1,G3,,,,,,
32,,,,,,,,1,C4,,,,,,
33,,,,,,,,1,E3,,,,,,
34,,,,,,,,1,G3,,,,,,
35,,,,,,,,1,C4,,,,,,
35.5,,0.3,G4,,,,,,,,,,,,
36,,2.5,D5,,,F4,,1,D3,,,,,,
37,,,,,,,,1,G3,,,,,,
38,,,,,,,,1,B3,,,,,,
39,,2.5,C#5,,,E4,,1,C#3,,,,,,
40,,,,,,,,1,F#3,,,,,,
41,,,,,,,,1,A#3,,,,,,
42,,2.5,D5,,,F4,,1,D3,,,,,,
43,,,,,,,,1,G3,,,,,,
44,,,,,,,,1,B3,,,,,,
45,,,,,,,,1,B2,,,,,,
45.5,,0.3,G4,,,,,,,,,,,,
46,,0.3,A4,,,,,1,G3,,,,,,
46.5,,0.3,B4,,,,,,,,,,,,
47,,0.3,C5,,,,,1,B3,,,,,,
47.5,,0.3,C#5,,,,,,,,,,,,
48,,2.5,D5,,,F4,,1,D3,,,,,,
49,,,,,,,,1,G3,,,,,,
50,,,,,,,,1,B3,,,,,,
51,,1.8,G4,,,B3,,1,B2,,,,,,
52,,,,,,,,1,G3,,,,,,
53,,1,F5,,,A4,,1,B3,,,,,,
54,,2.5,E5,,,G4,,1,C3,,,,,,
55,,,,,,,,1,G3,,,,,,
56,,,,,,,,1,C4,,,,,,
57,,,,,,,,1,G2,,,,,,
58,,,,,,,,1,G3,,,,,,
59,,,,,,,,1,C4,,,,,,
59.5,,0.3,G4,,,,,,,,,,,,
60,,2.5,G5,,,E5,,1,C3,,,,,,
61,,,,,,,,1,G3,,,,,,
62,,,,,,,,1,E4,,,,,,
63,,2.5,G5,,,D5,,1,B2,,,,,,
64,,,,,,,,1,G3,,,,,,
65,,,,,,,,1,D4,,,,,,
66,,2.5,G5,,,C#5,,1,Bb2,,,,,,
